09-01|Start of the Church Year - The Indiction|3|1 Timothy 2:1-7|Luke 4:16-22|1|1|1|1||Synaxis of the Most Holy Theotokos in Miasena Monastery, in memory of the finding of Her Icon (864). St. Simeon Stylites the Elder (459) and his mother St. Martha (428). Righteous Martyr Aithalas the Persian (380). Holy Forty Virgin-martyrs at Heraclea in Thrace (321). St. Meletius the Younger of Thebes (1124). New Martyr Angelis of Constantinople (1680). Holy Martyr Callista and her brothers Evodus and Hermogenes, at Nicomedia (309). Righteous Joshua the son of Nun (1400 BC).|St. Lythan (Llythaothaw). St. Silin (6th C).
09-02||||||||||Holy Martyr Mamas of Caesarea in Cappadocia, and his parents Martyrs Theodotus and Rufina (3rd C). St. John the Faster, patriarch of Constantinople (595). Righteous Eleazar, son of Aaron, and Righteous Phineas. Holy Martyrs Aeithalas and Ammon of Thrace.|St. Hieu, abbess of Tadcaster (657). St. Lolanus (c.1034).
09-03||||||||||Hieromartyr Anthimus, bishop of Nicomedia, and those with him (302). St. Theoctistus, fellow Ascetic with St. Euthymius the Great (467). St. Phoebe, deaconess at Cenchreae nr. Corinth (1st C). Translation of the relics of St. Nectarius of Pentapolis. Blessed John "the Hairy", Fool-for-Christ, at Rostov (1580). St. Joannicius, archbishop of Serbia (1354). Holy Martyr Chariton. New Martyr Polydorus of Cyprus (1794).|St. MacNis, abbot of Kells (c.514). St. Hereswith, sister of St. Hilda (c.690). St. Gregory the Great (the Dialogist), Apostle of the English 604.
09-04||||||||||Hieromartyr Babylas, bishop of Antioch, and those with him (251). Righteous Prophet and God-Seer Moses (1531 BC). Holy Martyr Hermione, daughter of St. Philip the deacon (c.117). Holy Martyrs Jerusalem, Sekendos, Sekendios and Kegouros in Aleppo. St. Anthimus the Blind, new ascetic of Cephalonia (1782). Uncovering (1911) of the relics of St. Joasaph, bishop of Belgorod (1754). Holy New Martyr Gorazd of Prague (1942).|St. Monessa, disciple of St. Patrick (456). St. Ultan of Ardbraccan (657). St. Rhuddlad of Llanrhyddlad (7th C).
09-05||||||||||Holy Prophet Zachariah and Righteous Elizabeth, parents of St. John the Baptist and Forerunner (1st C). Holy Martyrs Urban, Theodore, Medimnus, and 77 Companions at Nicomedia (370). Holy Martyrs Abdas, Hormizd, and Sunin of Persia (c.424). Holy Martyrs Juventinus and Maximus at Antioch (4th C). Martyrdom of the Holy Passionbearer Prince Gleb, in Holy Baptism, David (1015).|
09-06|Commemoration of the Miracle of the Archangel Michael at Colossæ (Chonæ) (4th C)|4|Hebrews 2:2-10|Luke 10:16-21|||1|||Holy Martyrs Calodote, Macarius, Andrew, Cyriacus, Dionysius, Andrew the Soldier, Andropelagia, Thecla, Theoctistus, and Sarapabon the Senator, in Egypt (256). Holy Martyrs Eudoxius, Zeno and Macarius and 1,104 soldiers in Mitelene (312).|St. Bega (Bee), Virgin, first abbess of Copeland in Cumbria (7th C). St. MacCallin, bishop of Lusk (497). SS Felix and Augebert, the English slaves ransomed by St. Gregory (7th C). St. Magnus, disciple of St. Columbanus and Abbot of Füssen (c.665).
09-07|||||||||Forefeast of the Nativity of the Theotokos|Holy Martyr Sozon of Cilicia (c.304). Apostles Evodias and Onesiphorus of the Seventy (1st C). St. Kassiane the Hymnographer (9th C). St. John, archbishop of Novgorod (1186). St. Cloud (Clodoald), abbot-founder of Nogent-sur-Seine nr. Paris (6th C).|SS. Alcmund (781) and Tilbert (789), bishops of Hexham. St. Balin, monk (7th C). Holy martyr Grimonia (4th C).
09-08|The Nativity of the Most Holy Theotokos and Ever-Virgin Mary|2|Philippians 2:5-11|Luke 10:38-42,11:27-28|||1|1||St. Sophronius of Achtalea in Georgia, bishop (1803). St. Arsenius, abbot of Konevits (1447). New Martyr Athanasius of Thessalonica (1774).|St. Cynfarch, missionary (5th C). SS. Ine, King of Wessex and Queen Ethelburga (Æthelburg) (8th C). St. Disibod (c.700).
09-09|Synaxis of the Holy and Righteous Forebears of God, Joachim and Anna|4|Galatians 4:22-27|Luke 8:16-21|||1||Afterfeast of the Nativity of the Theotokos|Holy Martyr Severian of Sebaste (320). Righteous Theophanes the Confessor (c.300). Commemoration of the Fathers of the Third Œcumenical Council (431). St. Joseph the Wonderworker, abbot of Volokolamsk (or Volotsk 1515). Uncovering of the relics of St. Theodosius, archbishop of Chernigov (1896).|St. Ciaran the Younger of Clonmacnois (c.545). St. Bettelin (Bertram) of Crowland, hermit (8th C). St. Wulfhild, abbess of Bar and Horton (c.1000). Osmanna (Argariarga) (c.650).
09-10|||||||||Afterfeast of the Nativity of the Theotokos|Holy Martyrs Menodora, Metrodora, and Nymphodora, at Nicomedia (c.305). Blessed Empress Pulcheria (453).|St. Finian of Ulster, abbot (579). St. Frithestan, bishop of Winchester (932).
